Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)
A0A7K7P370	unreviewed	A0A7K7P370_ACRAR	LRCH3 protein	Lrch3 ACRARU_R10181	Acrocephalus arundinaceus (Great reed-warbler)	798	ACRARU_R10181
A0A7K7P372	unreviewed	A0A7K7P372_ACRAR	ECEL1 protein	Ecel1 ACRARU_R03327	Acrocephalus arundinaceus (Great reed-warbler)	779	ACRARU_R03327
A0A7K7P374	unreviewed	A0A7K7P374_ACRAR	Troponin C, slow skeletal and cardiac muscles	Tnnc1 ACRARU_R10141	Acrocephalus arundinaceus (Great reed-warbler)	147	ACRARU_R10141
A0A7K7P377	unreviewed	A0A7K7P377_ACRAR	COX assembly mitochondrial protein	Cmc1 ACRARU_R00820	Acrocephalus arundinaceus (Great reed-warbler)	98	ACRARU_R00820
A0A7K7P384	unreviewed	A0A7K7P384_ACRAR	RASF1 protein	Rassf1 ACRARU_R10135	Acrocephalus arundinaceus (Great reed-warbler)	212	ACRARU_R10135
A0A7K7P385	unreviewed	A0A7K7P385_ACRAR	BCLF1 factor	Bclaf1 ACRARU_R11932	Acrocephalus arundinaceus (Great reed-warbler)	919	ACRARU_R11932
A0A7K7P388	unreviewed	A0A7K7P388_ACRAR	PHLD phospholipase	Gpld1 ACRARU_R12166	Acrocephalus arundinaceus (Great reed-warbler)	107	ACRARU_R12166
A0A7K7P392	unreviewed	A0A7K7P392_ACRAR	PSMD1 ATPase	Psmd1 ACRARU_R10199	Acrocephalus arundinaceus (Great reed-warbler)	242	ACRARU_R10199
A0A7K7P395	unreviewed	A0A7K7P395_ACRAR	DTHD1 protein	Dthd1 ACRARU_R04980	Acrocephalus arundinaceus (Great reed-warbler)	611	ACRARU_R04980
A0A7K7P3A1	unreviewed	A0A7K7P3A1_ACRAR	SP5 factor	Sp5 ACRARU_R11661	Acrocephalus arundinaceus (Great reed-warbler)	347	ACRARU_R11661
A0A7K7P3A2	unreviewed	A0A7K7P3A2_ACRAR	TBCD5 protein	Tbc1d5 ACRARU_R04085	Acrocephalus arundinaceus (Great reed-warbler)	799	ACRARU_R04085
A0A7K7P3A3	unreviewed	A0A7K7P3A3_ACRAR	RT18A protein	Mrps18a ACRARU_R12441	Acrocephalus arundinaceus (Great reed-warbler)	146	ACRARU_R12441
A0A7K7P3A4	unreviewed	A0A7K7P3A4_ACRAR	RGR protein	Rgr ACRARU_R07844	Acrocephalus arundinaceus (Great reed-warbler)	295	ACRARU_R07844
A0A7K7P3A5	unreviewed	A0A7K7P3A5_ACRAR	ARX protein	Arx_0 ACRARU_R10799	Acrocephalus arundinaceus (Great reed-warbler)	509	ACRARU_R10799
A0A7K7P3A6	unreviewed	A0A7K7P3A6_ACRAR	DYH12 protein	Dnah12_0 ACRARU_R13211	Acrocephalus arundinaceus (Great reed-warbler)	213	ACRARU_R13211
A0A7K7P3A9	unreviewed	A0A7K7P3A9_ACRAR	HTD2 dehydratase	Htd2 ACRARU_R07813	Acrocephalus arundinaceus (Great reed-warbler)	160	ACRARU_R07813
A0A7K7P3B0	unreviewed	A0A7K7P3B0_ACRAR	Methyltransferase-like protein 5	Mettl5 ACRARU_R11821	Acrocephalus arundinaceus (Great reed-warbler)	210	ACRARU_R11821
A0A7K7P3B1	unreviewed	A0A7K7P3B1_ACRAR	KLH23 protein	Klhl23_0 ACRARU_R11653	Acrocephalus arundinaceus (Great reed-warbler)	558	ACRARU_R11653
A0A7K7P3B2	unreviewed	A0A7K7P3B2_ACRAR	PIDD1 protein	Pidd1 ACRARU_R06400	Acrocephalus arundinaceus (Great reed-warbler)	893	ACRARU_R06400
A0A7K7P3B3	unreviewed	A0A7K7P3B3_ACRAR	RPP14 protein	Rpp14 ACRARU_R07814	Acrocephalus arundinaceus (Great reed-warbler)	129	ACRARU_R07814
A0A7K7P3B4	unreviewed	A0A7K7P3B4_ACRAR	PTHD1 protein	Ptchd1 ACRARU_R04745	Acrocephalus arundinaceus (Great reed-warbler)	858	ACRARU_R04745
A0A7K7P3B7	unreviewed	A0A7K7P3B7_ACRAR	FIGN protein	Fign_0 ACRARU_R01677	Acrocephalus arundinaceus (Great reed-warbler)	752	ACRARU_R01677
A0A7K7P3B8	unreviewed	A0A7K7P3B8_ACRAR	GORS2 protein	Gorasp2 ACRARU_R11655	Acrocephalus arundinaceus (Great reed-warbler)	440	ACRARU_R11655
A0A7K7P3C0	unreviewed	A0A7K7P3C0_ACRAR	ITIH4 inhibitor	Itih4 ACRARU_R10143	Acrocephalus arundinaceus (Great reed-warbler)	188	ACRARU_R10143
A0A7K7P3C3	unreviewed	A0A7K7P3C3_ACRAR	QCR1 protein	Uqcrc1 ACRARU_R11563	Acrocephalus arundinaceus (Great reed-warbler)	481	ACRARU_R11563
A0A7K7P3D0	unreviewed	A0A7K7P3D0_ACRAR	ZMY10 protein	Zmynd10 ACRARU_R10136	Acrocephalus arundinaceus (Great reed-warbler)	422	ACRARU_R10136
A0A7K7P3D4	unreviewed	A0A7K7P3D4_ACRAR	CAHM6 protein	Calhm6_0 ACRARU_R00271	Acrocephalus arundinaceus (Great reed-warbler)	316	ACRARU_R00271
A0A7K7P3D6	unreviewed	A0A7K7P3D6_ACRAR	CE85L protein	Cep85l ACRARU_R05112	Acrocephalus arundinaceus (Great reed-warbler)	770	ACRARU_R05112
A0A7K7P3D9	unreviewed	A0A7K7P3D9_ACRAR	LACB2 Endoribonuclease	Lactb2 ACRARU_R06366	Acrocephalus arundinaceus (Great reed-warbler)	77	ACRARU_R06366
A0A7K7P3E0	unreviewed	A0A7K7P3E0_ACRAR	LRRN3 protein	Lrrn3 ACRARU_R09695	Acrocephalus arundinaceus (Great reed-warbler)	708	ACRARU_R09695
A0A7K7P3E1	unreviewed	A0A7K7P3E1_ACRAR	KPCD kinase	Prkcd_1 ACRARU_R15575	Acrocephalus arundinaceus (Great reed-warbler)	55	ACRARU_R15575
A0A7K7P3E6	unreviewed	A0A7K7P3E6_ACRAR	ARP3B protein	Actr3b ACRARU_R09459	Acrocephalus arundinaceus (Great reed-warbler)	170	ACRARU_R09459
A0A7K7P3E8	unreviewed	A0A7K7P3E8_ACRAR	KPCD kinase	Prkcd_0 ACRARU_R07651	Acrocephalus arundinaceus (Great reed-warbler)	409	ACRARU_R07651
A0A7K7P3F0	unreviewed	A0A7K7P3F0_ACRAR	LRIT1 protein	Lrit1 ACRARU_R12709	Acrocephalus arundinaceus (Great reed-warbler)	628	ACRARU_R12709
A0A7K7P3F1	unreviewed	A0A7K7P3F1_ACRAR	E2F3 factor	E2f3 ACRARU_R01860	Acrocephalus arundinaceus (Great reed-warbler)	342	ACRARU_R01860
A0A7K7P3F2	unreviewed	A0A7K7P3F2_ACRAR	F16B1 protein	Fam160b1_0 ACRARU_R06436	Acrocephalus arundinaceus (Great reed-warbler)	86	ACRARU_R06436
A0A7K7P3F8	unreviewed	A0A7K7P3F8_ACRAR	IMP2L protease	Immp2l ACRARU_R14000	Acrocephalus arundinaceus (Great reed-warbler)	80	ACRARU_R14000
A0A7K7P3G2	unreviewed	A0A7K7P3G2_ACRAR	K1549 protein	ACRARU_R11911	Acrocephalus arundinaceus (Great reed-warbler)	1280	ACRARU_R11911
A0A7K7P3G3	unreviewed	A0A7K7P3G3_ACRAR	REP15 protein	Rep15 ACRARU_R04525	Acrocephalus arundinaceus (Great reed-warbler)	236	ACRARU_R04525
A0A7K7P3G5	unreviewed	A0A7K7P3G5_ACRAR	ZFX protein	Zfx ACRARU_R04743	Acrocephalus arundinaceus (Great reed-warbler)	795	ACRARU_R04743
A0A7K7P3G8	unreviewed	A0A7K7P3G8_ACRAR	SYCP3 protein	Sycp3 ACRARU_R11916	Acrocephalus arundinaceus (Great reed-warbler)	222	ACRARU_R11916
A0A7K7P3H4	unreviewed	A0A7K7P3H4_ACRAR	SYCE3 protein	Syce3 ACRARU_R00502	Acrocephalus arundinaceus (Great reed-warbler)	83	ACRARU_R00502
A0A7K7P3H8	unreviewed	A0A7K7P3H8_ACRAR	METL2 protein	Mettl2_0 ACRARU_R11818	Acrocephalus arundinaceus (Great reed-warbler)	394	ACRARU_R11818
A0A7K7P3I0	unreviewed	A0A7K7P3I0_ACRAR	LA protein	Ssb ACRARU_R11654	Acrocephalus arundinaceus (Great reed-warbler)	407	ACRARU_R11654
A0A7K7P3I3	unreviewed	A0A7K7P3I3_ACRAR	CAHM4 protein	Calhm4 ACRARU_R00269	Acrocephalus arundinaceus (Great reed-warbler)	302	ACRARU_R00269
A0A7K7P3I4	unreviewed	A0A7K7P3I4_ACRAR	LRMP protein	Lrmp_2 ACRARU_R15288	Acrocephalus arundinaceus (Great reed-warbler)	456	ACRARU_R15288
A0A7K7P3I5	unreviewed	A0A7K7P3I5_ACRAR	F162B protein	Fam162b ACRARU_R05114	Acrocephalus arundinaceus (Great reed-warbler)	109	ACRARU_R05114
A0A7K7P3I6	unreviewed	A0A7K7P3I6_ACRAR	F198B protein	Fam198b ACRARU_R00798	Acrocephalus arundinaceus (Great reed-warbler)	537	ACRARU_R00798
A0A7K7P3I9	unreviewed	A0A7K7P3I9_ACRAR	DNJB8 protein	Dnajb8 ACRARU_R11570	Acrocephalus arundinaceus (Great reed-warbler)	212	ACRARU_R11570
A0A7K7P3J2	unreviewed	A0A7K7P3J2_ACRAR	PHOP2 phosphatase	Phospho2 ACRARU_R11649	Acrocephalus arundinaceus (Great reed-warbler)	241	ACRARU_R11649
A0A7K7P3J3	unreviewed	A0A7K7P3J3_ACRAR	NDUF2 factor	Ndufaf2 ACRARU_R05277	Acrocephalus arundinaceus (Great reed-warbler)	171	ACRARU_R05277
A0A7K7P3J4	unreviewed	A0A7K7P3J4_ACRAR	VGLL2 protein	Vgll2 ACRARU_R00278	Acrocephalus arundinaceus (Great reed-warbler)	309	ACRARU_R00278
A0A7K7P3J5	unreviewed	A0A7K7P3J5_ACRAR	S35F1 protein	Slc35f1 ACRARU_R00274	Acrocephalus arundinaceus (Great reed-warbler)	351	ACRARU_R00274
A0A7K7P3J6	unreviewed	A0A7K7P3J6_ACRAR	CAHM6 protein	Calhm6_1 ACRARU_R00272	Acrocephalus arundinaceus (Great reed-warbler)	287	ACRARU_R00272
A0A7K7P3J8	unreviewed	A0A7K7P3J8_ACRAR	TR1L1 protein	Tram1l1 ACRARU_R06361	Acrocephalus arundinaceus (Great reed-warbler)	312	ACRARU_R06361
A0A7K7P3J9	unreviewed	A0A7K7P3J9_ACRAR	TB22A protein	Tbc1d22a ACRARU_R10664	Acrocephalus arundinaceus (Great reed-warbler)	479	ACRARU_R10664
A0A7K7P3K0	unreviewed	A0A7K7P3K0_ACRAR	ubiquitinyl hydrolase 1 (EC 3.4.19.12)	Otud1 ACRARU_R13574	Acrocephalus arundinaceus (Great reed-warbler)	199	ACRARU_R13574
A0A7K7P3K1	unreviewed	A0A7K7P3K1_ACRAR	NT5D2 protein	Nt5dc2 ACRARU_R10126	Acrocephalus arundinaceus (Great reed-warbler)	561	ACRARU_R10126
A0A7K7P3K2	unreviewed	A0A7K7P3K2_ACRAR	FAKD1 protein	Fastkd1 ACRARU_R11820	Acrocephalus arundinaceus (Great reed-warbler)	830	ACRARU_R11820
A0A7K7P3K3	unreviewed	A0A7K7P3K3_ACRAR	CLC3A protein	Clec3a ACRARU_R06590	Acrocephalus arundinaceus (Great reed-warbler)	195	ACRARU_R06590
A0A7K7P3K4	unreviewed	A0A7K7P3K4_ACRAR	XRCC2 protein	Xrcc2 ACRARU_R12397	Acrocephalus arundinaceus (Great reed-warbler)	266	ACRARU_R12397
A0A7K7P3K6	unreviewed	A0A7K7P3K6_ACRAR	TM115 protein	Tmem115 ACRARU_R10131	Acrocephalus arundinaceus (Great reed-warbler)	153	ACRARU_R10131
A0A7K7P3L0	unreviewed	A0A7K7P3L0_ACRAR	NISCH protein	Nisch_1 ACRARU_R07652	Acrocephalus arundinaceus (Great reed-warbler)	348	ACRARU_R07652
A0A7K7P3L1	unreviewed	A0A7K7P3L1_ACRAR	STIMA regulator	Stimate_1 ACRARU_R10142	Acrocephalus arundinaceus (Great reed-warbler)	89	ACRARU_R10142
A0A7K7P3L4	unreviewed	A0A7K7P3L4_ACRAR	PDCD5 protein	Pdcd5 ACRARU_R12099	Acrocephalus arundinaceus (Great reed-warbler)	91	ACRARU_R12099
A0A7K7P3L5	unreviewed	A0A7K7P3L5_ACRAR	NISCH protein	Nisch_0 ACRARU_R07650	Acrocephalus arundinaceus (Great reed-warbler)	96	ACRARU_R07650
A0A7K7P3L7	unreviewed	A0A7K7P3L7_ACRAR	TDRD3 protein	Tdrd3_0 ACRARU_R05695	Acrocephalus arundinaceus (Great reed-warbler)	218	ACRARU_R05695
A0A7K7P3L9	unreviewed	A0A7K7P3L9_ACRAR	MYPC1 protein	Mybpc1 ACRARU_R06357	Acrocephalus arundinaceus (Great reed-warbler)	1108	ACRARU_R06357
A0A7K7P3M0	unreviewed	A0A7K7P3M0_ACRAR	TUSC2 protein	Tusc2 ACRARU_R10132	Acrocephalus arundinaceus (Great reed-warbler)	61	ACRARU_R10132
A0A7K7P3M1	unreviewed	A0A7K7P3M1_ACRAR	LRIT2 protein	Lrit2 ACRARU_R12710	Acrocephalus arundinaceus (Great reed-warbler)	526	ACRARU_R12710
A0A7K7P3M2	unreviewed	A0A7K7P3M2_ACRAR	R9BP protein	Rgs9bp ACRARU_R12100	Acrocephalus arundinaceus (Great reed-warbler)	237	ACRARU_R12100
A0A7K7P3M5	unreviewed	A0A7K7P3M5_ACRAR	POK9 protein	Ervk9_0 ACRARU_R08908	Acrocephalus arundinaceus (Great reed-warbler)	162	ACRARU_R08908
A0A7K7P3M6	unreviewed	A0A7K7P3M6_ACRAR	LRMP protein	Lrmp_0 ACRARU_R04522	Acrocephalus arundinaceus (Great reed-warbler)	87	ACRARU_R04522
A0A7K7P3N0	unreviewed	A0A7K7P3N0_ACRAR	MCH protein	Pmch ACRARU_R11909	Acrocephalus arundinaceus (Great reed-warbler)	167	ACRARU_R11909
A0A7K7P3N2	unreviewed	A0A7K7P3N2_ACRAR	ACOT9 thioesterase	Acot9 ACRARU_R10803	Acrocephalus arundinaceus (Great reed-warbler)	409	ACRARU_R10803
A0A7K7P3N7	unreviewed	A0A7K7P3N7_ACRAR	GHITM protein	Ghitm ACRARU_R07846	Acrocephalus arundinaceus (Great reed-warbler)	345	ACRARU_R07846
A0A7K7P3N9	unreviewed	A0A7K7P3N9_ACRAR	DCA17 factor	Dcaf17 ACRARU_R11645	Acrocephalus arundinaceus (Great reed-warbler)	526	ACRARU_R11645
A0A7K7P3P3	unreviewed	A0A7K7P3P3_ACRAR	NRDE2 protein	Nrde2 ACRARU_R03630	Acrocephalus arundinaceus (Great reed-warbler)	416	ACRARU_R03630
A0A7K7P3P4	unreviewed	A0A7K7P3P4_ACRAR	LRC3B protein	Lrrc3b_0 ACRARU_R00819	Acrocephalus arundinaceus (Great reed-warbler)	259	ACRARU_R00819
A0A7K7P3P6	unreviewed	A0A7K7P3P6_ACRAR	OSTA protein	Slc51a_1 ACRARU_R04742	Acrocephalus arundinaceus (Great reed-warbler)	299	ACRARU_R04742
A0A7K7P3P8	unreviewed	A0A7K7P3P8_ACRAR	GRAM4 protein	Gramd4 ACRARU_R10663	Acrocephalus arundinaceus (Great reed-warbler)	86	ACRARU_R10663
A0A7K7P3P9	unreviewed	A0A7K7P3P9_ACRAR	COSA1 protein	Col28a1_0 ACRARU_R11650	Acrocephalus arundinaceus (Great reed-warbler)	934	ACRARU_R11650
A0A7K7P3Q2	unreviewed	A0A7K7P3Q2_ACRAR	CERK1 kinase	Cerk ACRARU_R13202	Acrocephalus arundinaceus (Great reed-warbler)	499	ACRARU_R13202
A0A7K7P3Q3	unreviewed	A0A7K7P3Q3_ACRAR	OGR1 protein	Gpr68 ACRARU_R03628	Acrocephalus arundinaceus (Great reed-warbler)	357	ACRARU_R03628
A0A7K7P3Q5	unreviewed	A0A7K7P3Q5_ACRAR	F183B protein	Fam183b ACRARU_R11752	Acrocephalus arundinaceus (Great reed-warbler)	54	ACRARU_R11752
A0A7K7P3Q7	unreviewed	A0A7K7P3Q7_ACRAR	TM144 protein	Tmem144 ACRARU_R04675	Acrocephalus arundinaceus (Great reed-warbler)	346	ACRARU_R04675
A0A7K7P3Q9	unreviewed	A0A7K7P3Q9_ACRAR	Small integral membrane protein 15	Smim15 ACRARU_R04958	Acrocephalus arundinaceus (Great reed-warbler)	74	ACRARU_R04958
A0A7K7P3R0	unreviewed	A0A7K7P3R0_ACRAR	ZSWM6 protein	Zswim6 ACRARU_R05276	Acrocephalus arundinaceus (Great reed-warbler)	1114	ACRARU_R05276
A0A7K7P3R2	unreviewed	A0A7K7P3R2_ACRAR	CPLN1 protein	Cplane1_4 ACRARU_R14992	Acrocephalus arundinaceus (Great reed-warbler)	127	ACRARU_R14992
A0A7K7P3R3	unreviewed	A0A7K7P3R3_ACRAR	LAMA2 protein	Lama2_2 ACRARU_R08153	Acrocephalus arundinaceus (Great reed-warbler)	171	ACRARU_R08153
A0A7K7P3R4	unreviewed	A0A7K7P3R4_ACRAR	RWDD1 protein	Rwdd1 ACRARU_R00273	Acrocephalus arundinaceus (Great reed-warbler)	203	ACRARU_R00273
A0A7K7P3R5	unreviewed	A0A7K7P3R5_ACRAR	TTC37 protein	Ttc37 ACRARU_R06467	Acrocephalus arundinaceus (Great reed-warbler)	669	ACRARU_R06467
A0A7K7P3R7	unreviewed	A0A7K7P3R7_ACRAR	SCRN1 protein	Scrn1 ACRARU_R13238	Acrocephalus arundinaceus (Great reed-warbler)	144	ACRARU_R13238
A0A7K7P3S2	unreviewed	A0A7K7P3S2_ACRAR	RHG18 protein	Arhgap18 ACRARU_R07074	Acrocephalus arundinaceus (Great reed-warbler)	666	ACRARU_R07074
A0A7K7P3S7	unreviewed	A0A7K7P3S7_ACRAR	PKHA8 protein	Plekha8 ACRARU_R09025	Acrocephalus arundinaceus (Great reed-warbler)	125	ACRARU_R09025
A0A7K7P3T0	unreviewed	A0A7K7P3T0_ACRAR	OSTA protein	Slc51a_0 ACRARU_R03324	Acrocephalus arundinaceus (Great reed-warbler)	345	ACRARU_R03324
A0A7K7P3T1	unreviewed	A0A7K7P3T1_ACRAR	GREB1 protein	Greb1 ACRARU_R12123	Acrocephalus arundinaceus (Great reed-warbler)	1949	ACRARU_R12123
A0A7K7P3T3	unreviewed	A0A7K7P3T3_ACRAR	TDRD3 protein	Tdrd3_1 ACRARU_R14985	Acrocephalus arundinaceus (Great reed-warbler)	345	ACRARU_R14985
A0A7K7P3T4	unreviewed	A0A7K7P3T4_ACRAR	COLQ Acetylcholinesterase	Colq ACRARU_R13235	Acrocephalus arundinaceus (Great reed-warbler)	430	ACRARU_R13235
A0A7K7P3T8	unreviewed	A0A7K7P3T8_ACRAR	PDE6D phosphodiesterase	Pde6d ACRARU_R03333	Acrocephalus arundinaceus (Great reed-warbler)	101	ACRARU_R03333
A0A7K7P3U2	unreviewed	A0A7K7P3U2_ACRAR	HERC2 ligase	Herc2_1 ACRARU_R02032	Acrocephalus arundinaceus (Great reed-warbler)	149	ACRARU_R02032
A0A7K7P3U3	unreviewed	A0A7K7P3U3_ACRAR	SE1L3 protein	Sel1l3 ACRARU_R09574	Acrocephalus arundinaceus (Great reed-warbler)	1094	ACRARU_R09574
A0A7K7P3V3	unreviewed	A0A7K7P3V3_ACRAR	P protein	Oca2 ACRARU_R02029	Acrocephalus arundinaceus (Great reed-warbler)	757	ACRARU_R02029
A0A7K7P3V4	unreviewed	A0A7K7P3V4_ACRAR	LRMP protein	Lrmp_1 ACRARU_R04523	Acrocephalus arundinaceus (Great reed-warbler)	354	ACRARU_R04523
A0A7K7P3V5	unreviewed	A0A7K7P3V5_ACRAR	PRS4 protein	Psmc1 ACRARU_R09128	Acrocephalus arundinaceus (Great reed-warbler)	181	ACRARU_R09128
A0A7K7P3V6	unreviewed	A0A7K7P3V6_ACRAR	CERKL protein	Cerkl ACRARU_R03389	Acrocephalus arundinaceus (Great reed-warbler)	459	ACRARU_R03389
A0A7K7P3V8	unreviewed	A0A7K7P3V8_ACRAR	FABD protein	Mcat ACRARU_R04514	Acrocephalus arundinaceus (Great reed-warbler)	281	ACRARU_R04514
A0A7K7P3V9	unreviewed	A0A7K7P3V9_ACRAR	ARSK Arylsulfatase	Arsk ACRARU_R06850	Acrocephalus arundinaceus (Great reed-warbler)	294	ACRARU_R06850
A0A7K7P3W2	unreviewed	A0A7K7P3W2_ACRAR	Sulfotransferase (EC 2.8.2.-)	Sult6b1_0 ACRARU_R04518	Acrocephalus arundinaceus (Great reed-warbler)	277	ACRARU_R04518
A0A7K7P3W3	unreviewed	A0A7K7P3W3_ACRAR	KS6A5 kinase	Rps6ka5 ACRARU_R03632	Acrocephalus arundinaceus (Great reed-warbler)	233	ACRARU_R03632
A0A7K7P3W5	unreviewed	A0A7K7P3W5_ACRAR	DNJB4 protein	Dnajb4 ACRARU_R13400	Acrocephalus arundinaceus (Great reed-warbler)	342	ACRARU_R13400
A0A7K7P3W7	unreviewed	A0A7K7P3W7_ACRAR	FAM3D protein	Fam3d ACRARU_R01849	Acrocephalus arundinaceus (Great reed-warbler)	74	ACRARU_R01849
A0A7K7P3W9	unreviewed	A0A7K7P3W9_ACRAR	CARL1 protein	Carmil1 ACRARU_R04829	Acrocephalus arundinaceus (Great reed-warbler)	81	ACRARU_R04829
A0A7K7P3X0	unreviewed	A0A7K7P3X0_ACRAR	NDRG1 protein	Ndrg1 ACRARU_R02293	Acrocephalus arundinaceus (Great reed-warbler)	370	ACRARU_R02293
A0A7K7P3X1	unreviewed	A0A7K7P3X1_ACRAR	NEXN protein	Nexn ACRARU_R13397	Acrocephalus arundinaceus (Great reed-warbler)	669	ACRARU_R13397
A0A7K7P3X3	unreviewed	A0A7K7P3X3_ACRAR	KAD5 kinase	Ak5 ACRARU_R13403	Acrocephalus arundinaceus (Great reed-warbler)	125	ACRARU_R13403
A0A7K7P3X4	unreviewed	A0A7K7P3X4_ACRAR	UBP33 hydrolase	Usp33 ACRARU_R09231	Acrocephalus arundinaceus (Great reed-warbler)	226	ACRARU_R09231
A0A7K7P3X5	unreviewed	A0A7K7P3X5_ACRAR	TPRKB protein	Tprkb ACRARU_R10661	Acrocephalus arundinaceus (Great reed-warbler)	175	ACRARU_R10661
A0A7K7P3X6	unreviewed	A0A7K7P3X6_ACRAR	TRHDE protein	Trhde_0 ACRARU_R01919	Acrocephalus arundinaceus (Great reed-warbler)	72	ACRARU_R01919
A0A7K7P3X7	unreviewed	A0A7K7P3X7_ACRAR	TDRP protein	Tdrp ACRARU_R11195	Acrocephalus arundinaceus (Great reed-warbler)	149	ACRARU_R11195
A0A7K7P3X8	unreviewed	A0A7K7P3X8_ACRAR	SPN90 protein	Nckipsd ACRARU_R11561	Acrocephalus arundinaceus (Great reed-warbler)	758	ACRARU_R11561
A0A7K7P3Y0	unreviewed	A0A7K7P3Y0_ACRAR	DAZL protein	Dazl ACRARU_R13233	Acrocephalus arundinaceus (Great reed-warbler)	197	ACRARU_R13233
A0A7K7P3Y1	unreviewed	A0A7K7P3Y1_ACRAR	LAMA2 protein	Lama2_0 ACRARU_R08151	Acrocephalus arundinaceus (Great reed-warbler)	187	ACRARU_R08151
A0A7K7P3Y2	unreviewed	A0A7K7P3Y2_ACRAR	CHIO protein	Chn2 ACRARU_R09021	Acrocephalus arundinaceus (Great reed-warbler)	409	ACRARU_R09021
A0A7K7P3Y3	unreviewed	A0A7K7P3Y3_ACRAR	TPC12 protein	Trappc12 ACRARU_R09744	Acrocephalus arundinaceus (Great reed-warbler)	783	ACRARU_R09744
A0A7K7P3Y4	unreviewed	A0A7K7P3Y4_ACRAR	RFTN1 protein	Rftn1 ACRARU_R13239	Acrocephalus arundinaceus (Great reed-warbler)	67	ACRARU_R13239
A0A7K7P3Y5	unreviewed	A0A7K7P3Y5_ACRAR	TILB protein	Lrrc6 ACRARU_R02290	Acrocephalus arundinaceus (Great reed-warbler)	460	ACRARU_R02290
A0A7K7P3Y6	unreviewed	A0A7K7P3Y6_ACRAR	DEP1B protein	Depdc1b ACRARU_R04955	Acrocephalus arundinaceus (Great reed-warbler)	529	ACRARU_R04955
A0A7K7P3Y7	unreviewed	A0A7K7P3Y7_ACRAR	CAHM5 protein	Calhm5 ACRARU_R00270	Acrocephalus arundinaceus (Great reed-warbler)	309	ACRARU_R00270
A0A7K7P3Y9	unreviewed	A0A7K7P3Y9_ACRAR	DEN6A protein	Dennd6a ACRARU_R13203	Acrocephalus arundinaceus (Great reed-warbler)	615	ACRARU_R13203
A0A7K7P3Z3	unreviewed	A0A7K7P3Z3_ACRAR	ZN507 protein	Znf507 ACRARU_R12097	Acrocephalus arundinaceus (Great reed-warbler)	958	ACRARU_R12097
A0A7K7P3Z4	unreviewed	A0A7K7P3Z4_ACRAR	WIPF3 protein	Wipf3 ACRARU_R09022	Acrocephalus arundinaceus (Great reed-warbler)	381	ACRARU_R09022
A0A7K7P3Z5	unreviewed	A0A7K7P3Z5_ACRAR	NUD19 protein	Nudt19 ACRARU_R12101	Acrocephalus arundinaceus (Great reed-warbler)	146	ACRARU_R12101
A0A7K7P3Z6	unreviewed	A0A7K7P3Z6_ACRAR	AGRL3 protein	Adgrl3_1 ACRARU_R05364	Acrocephalus arundinaceus (Great reed-warbler)	186	ACRARU_R05364
A0A7K7P3Z7	unreviewed	A0A7K7P3Z7_ACRAR	SLMAP protein	Slmap ACRARU_R11571	Acrocephalus arundinaceus (Great reed-warbler)	819	ACRARU_R11571
A0A7K7P3Z8	unreviewed	A0A7K7P3Z8_ACRAR	E2F6 factor	E2f6 ACRARU_R06688	Acrocephalus arundinaceus (Great reed-warbler)	225	ACRARU_R06688
A0A7K7P402	unreviewed	A0A7K7P402_ACRAR	LHPL6 protein	Lhfpl6 ACRARU_R14986	Acrocephalus arundinaceus (Great reed-warbler)	139	ACRARU_R14986
A0A7K7P403	unreviewed	A0A7K7P403_ACRAR	APC4 protein	Anapc4 ACRARU_R10584	Acrocephalus arundinaceus (Great reed-warbler)	234	ACRARU_R10584
A0A7K7P404	unreviewed	A0A7K7P404_ACRAR	PQLC3 protein	Pqlc3 ACRARU_R12122	Acrocephalus arundinaceus (Great reed-warbler)	164	ACRARU_R12122
A0A7K7P405	unreviewed	A0A7K7P405_ACRAR	CAPSL protein	Capsl ACRARU_R14605	Acrocephalus arundinaceus (Great reed-warbler)	111	ACRARU_R14605
A0A7K7P406	unreviewed	A0A7K7P406_ACRAR	F16B1 protein	Fam160b1_1 ACRARU_R06438	Acrocephalus arundinaceus (Great reed-warbler)	195	ACRARU_R06438
A0A7K7P407	unreviewed	A0A7K7P407_ACRAR	FGL1 protein	Fgl1_0 ACRARU_R08911	Acrocephalus arundinaceus (Great reed-warbler)	179	ACRARU_R08911
A0A7K7P408	unreviewed	A0A7K7P408_ACRAR	NIPA2 protein	Nipa2_0 ACRARU_R04832	Acrocephalus arundinaceus (Great reed-warbler)	361	ACRARU_R04832
A0A7K7P409	unreviewed	A0A7K7P409_ACRAR	HERC2 ligase	Herc2_2 ACRARU_R02033	Acrocephalus arundinaceus (Great reed-warbler)	236	ACRARU_R02033
A0A7K7P412	unreviewed	A0A7K7P412_ACRAR	LIPB1 protein	Ppfibp1 ACRARU_R04524	Acrocephalus arundinaceus (Great reed-warbler)	996	ACRARU_R04524
A0A7K7P414	unreviewed	A0A7K7P414_ACRAR	CKAP2 protein	Ckap2 ACRARU_R08912	Acrocephalus arundinaceus (Great reed-warbler)	647	ACRARU_R08912
A0A7K7P421	unreviewed	A0A7K7P421_ACRAR	SPEF2 protein	Spef2 ACRARU_R07875	Acrocephalus arundinaceus (Great reed-warbler)	1702	ACRARU_R07875
